Dealer_ID,Dealer_Name,Region,City,Monthly_Sales,Annual_Target,Target_Achieved,Customer_Satisfaction,Discount_Offered,Vehicles_Sold
UTT-022,Utt_Dealer_22,Uttar Pradesh,City_8,256,4870,0.66,3.43,40962,171
UTT-023,Utt_Dealer_23,Uttar Pradesh,City_9,402,4735,0.56,4.38,10091,196
UTT-024,Utt_Dealer_24,Uttar Pradesh,City_6,332,5973,0.63,4.66,19483,209
UTT-025,Utt_Dealer_25,Uttar Pradesh,City_16,471,4542,0.78,4.67,14825,135
UTT-026,Utt_Dealer_26,Uttar Pradesh,City_12,133,4106,1.1,3.67,23549,94
UTT-027,Utt_Dealer_27,Uttar Pradesh,City_17,399,5173,0.84,3.65,16655,119
UTT-028,Utt_Dealer_28,Uttar Pradesh,City_11,352,5452,0.55,3.73,42326,113
UTT-029,Utt_Dealer_29,Uttar Pradesh,City_4,421,5019,0.71,4.38,49702,166
UTT-030,Utt_Dealer_30,Uttar Pradesh,City_13,226,4034,0.87,4.71,25984,308
UTT-031,Utt_Dealer_31,Uttar Pradesh,City_20,492,4853,0.87,4.05,46816,78
UTT-032,Utt_Dealer_32,Uttar Pradesh,City_16,424,4299,0.61,3.81,32024,290
UTT-033,Utt_Dealer_33,Uttar Pradesh,City_2,434,5833,0.62,3.18,10837,377
UTT-034,Utt_Dealer_34,Uttar Pradesh,City_6,182,4348,0.88,4.75,30052,330
UTT-035,Utt_Dealer_35,Uttar Pradesh,City_5,379,4067,0.91,3.72,20688,331
UTT-036,Utt_Dealer_36,Uttar Pradesh,City_8,193,5139,0.83,3.16,45685,150
UTT-037,Utt_Dealer_37,Uttar Pradesh,City_6,287,4194,0.98,4.75,17646,201
UTT-038,Utt_Dealer_38,Uttar Pradesh,City_14,274,4129,0.95,4.86,20731,222
UTT-039,Utt_Dealer_39,Uttar Pradesh,City_7,185,4821,1.12,3.2,44310,99
UTT-040,Utt_Dealer_40,Uttar Pradesh,City_10,380,5624,0.74,4.03,48080,312
UTT-041,Utt_Dealer_41,Uttar Pradesh,City_3,89,5358,1.15,3.01,38259,384
UTT-042,Utt_Dealer_42,Uttar Pradesh,City_16,455,4754,1.05,3.55,30589,164
UTT-043,Utt_Dealer_43,Uttar Pradesh,City_8,261,5148,0.73,3.65,45868,160
UTT-044,Utt_Dealer_44,Uttar Pradesh,City_5,88,4979,0.69,4.23,33123,42
UTT-045,Utt_Dealer_45,Uttar Pradesh,City_11,98,5993,0.94,4.84,42181,389
UTT-046,Utt_Dealer_46,Uttar Pradesh,City_12,357,4628,1.05,3.63,31278,64
UTT-047,Utt_Dealer_47,Uttar Pradesh,City_11,174,5150,1.0,4.18,18478,360
UTT-048,Utt_Dealer_48,Uttar Pradesh,City_10,424,4938,0.62,3.15,49222,200
UTT-049,Utt_Dealer_49,Uttar Pradesh,City_7,419,4535,0.67,3.05,24105,304
UTT-050,Utt_Dealer_50,Uttar Pradesh,City_17,220,4005,0.57,3.58,48983,48
UTT-051,Utt_Dealer_51,Uttar Pradesh,City_10,332,5204,0.8,4.87,23981,308
UTT-052,Utt_Dealer_52,Uttar Pradesh,City_12,257,4581,0.87,3.8,23724,138
UTT-053,Utt_Dealer_53,Uttar Pradesh,City_15,382,4591,0.94,3.33,30068,334
UTT-054,Utt_Dealer_54,Uttar Pradesh,City_3,255,4777,0.75,4.12,49656,348
UTT-055,Utt_Dealer_55,Uttar Pradesh,City_7,285,4378,1.04,3.45,34772,67
UTT-056,Utt_Dealer_56,Uttar Pradesh,City_6,332,5777,0.55,4.62,47732,378
UTT-057,Utt_Dealer_57,Uttar Pradesh,City_8,167,4404,0.64,3.68,39803,369
UTT-058,Utt_Dealer_58,Uttar Pradesh,City_11,211,5471,0.65,3.24,21846,395
UTT-059,Utt_Dealer_59,Uttar Pradesh,City_2,346,4665,1.16,4.8,35806,185
UTT-060,Utt_Dealer_60,Uttar Pradesh,City_6,463,5514,0.98,3.06,42053,127
UTT-061,Utt_Dealer_61,Uttar Pradesh,City_7,354,5999,0.53,3.53,22225,235
UTT-062,Utt_Dealer_62,Uttar Pradesh,City_1,194,5854,0.63,4.15,32187,101
UTT-063,Utt_Dealer_63,Uttar Pradesh,City_7,145,5887,1.13,3.8,12847,97
UTT-064,Utt_Dealer_64,Uttar Pradesh,City_17,326,5872,1.06,3.53,21156,329
UTT-065,Utt_Dealer_65,Uttar Pradesh,City_5,462,4977,0.68,3.35,16615,269
UTT-066,Utt_Dealer_66,Uttar Pradesh,City_15,317,4487,0.75,3.74,26873,129
UTT-067,Utt_Dealer_67,Uttar Pradesh,City_5,246,5404,0.51,4.83,31277,34
UTT-068,Utt_Dealer_68,Uttar Pradesh,City_14,149,5617,0.73,3.7,31001,276
UTT-069,Utt_Dealer_69,Uttar Pradesh,City_6,143,5670,0.85,3.74,10029,37
UTT-070,Utt_Dealer_70,Uttar Pradesh,City_4,434,4496,1.11,3.12,12670,95
UTT-071,Utt_Dealer_71,Uttar Pradesh,City_3,240,4397,0.92,3.39,30347,53
UTT-072,Utt_Dealer_72,Uttar Pradesh,City_8,388,5247,1.04,3.33,23579,103
UTT-073,Utt_Dealer_73,Uttar Pradesh,City_17,159,5238,1.16,3.28,21324,197
UTT-074,Utt_Dealer_74,Uttar Pradesh,City_2,366,5073,0.86,3.64,33531,181
UTT-075,Utt_Dealer_75,Uttar Pradesh,City_4,161,5597,0.89,3.23,39935,79
UTT-076,Utt_Dealer_76,Uttar Pradesh,City_11,292,5098,0.66,4.58,38213,176
UTT-077,Utt_Dealer_77,Uttar Pradesh,City_18,369,5823,0.7,4.19,48751,242
UTT-078,Utt_Dealer_78,Uttar Pradesh,City_13,224,4217,1.07,4.69,42593,215
UTT-079,Utt_Dealer_79,Uttar Pradesh,City_5,125,4323,0.61,4.06,17689,144
UTT-080,Utt_Dealer_80,Uttar Pradesh,City_10,421,5846,0.65,4.21,30409,215
UTT-081,Utt_Dealer_81,Uttar Pradesh,City_13,215,5953,0.55,4.27,28386,251
UTT-082,Utt_Dealer_82,Uttar Pradesh,City_8,481,4726,1.02,4.39,41428,261
UTT-083,Utt_Dealer_83,Uttar Pradesh,City_3,465,4158,1.03,4.83,31358,274
UTT-084,Utt_Dealer_84,Uttar Pradesh,City_2,397,4785,0.61,3.48,44645,257
UTT-085,Utt_Dealer_85,Uttar Pradesh,City_1,411,5092,0.59,4.01,18831,280
UTT-086,Utt_Dealer_86,Uttar Pradesh,City_14,88,5810,0.78,4.89,49049,60
UTT-087,Utt_Dealer_87,Uttar Pradesh,City_5,212,4862,0.94,3.01,48513,263
UTT-088,Utt_Dealer_88,Uttar Pradesh,City_16,415,5425,0.83,4.45,22959,322
UTT-089,Utt_Dealer_89,Uttar Pradesh,City_19,385,5494,1.05,3.78,49291,152
UTT-090,Utt_Dealer_90,Uttar Pradesh,City_14,104,5278,0.52,3.9,14046,310
UTT-091,Utt_Dealer_91,Uttar Pradesh,City_4,361,5256,0.87,3.88,19643,346
UTT-092,Utt_Dealer_92,Uttar Pradesh,City_9,490,4995,1.14,3.88,47219,342
UTT-093,Utt_Dealer_93,Uttar Pradesh,City_1,247,4308,0.77,4.63,39992,344
UTT-094,Utt_Dealer_94,Uttar Pradesh,City_13,187,5529,0.89,3.84,36102,325
UTT-095,Utt_Dealer_95,Uttar Pradesh,City_8,372,5705,0.9,3.19,37056,374
UTT-096,Utt_Dealer_96,Uttar Pradesh,City_3,495,5362,1.07,3.35,26506,375
UTT-097,Utt_Dealer_97,Uttar Pradesh,City_17,73,4591,0.98,4.22,30909,190
UTT-098,Utt_Dealer_98,Uttar Pradesh,City_16,264,5040,0.52,4.52,34943,285
UTT-099,Utt_Dealer_99,Uttar Pradesh,City_5,70,5775,1.01,3.33,26677,331
UTT-100,Utt_Dealer_100,Uttar Pradesh,City_10,336,5112,0.97,4.93,42761,219
